EVM,Mode 1,Mode 2
0.0315085,1.36261e+13,0.00249111
0.0320088,1.392e+13,0.0028229
0.0325093,1.42128e+13,0.00318081
0.0330096,1.45032e+13,0.00355733
0.0335098,1.47894e+13,0.00397799
0.0340102,1.50729e+13,0.00443262
0.0345106,1.53525e+13,0.00490663
0.0350108,1.56286e+13,0.0054272
0.0355111,1.59022e+13,0.00597639
0.0360113,1.61738e+13,0.00654108
0.0365116,1.64403e+13,0.00714363
0.0370118,1.67055e+13,0.00776465
0.0375119,1.69718e+13,0.00839957
0.0380121,1.72321e+13,0.00906592
0.0385124,1.74904e+13,0.00975252
0.0390127,1.77479e+13,0.0104529
0.0395129,1.80015e+13,0.0111747
0.0400133,1.82542e+13,0.0119072
0.0405137,1.85055e+13,0.0126466
0.0410138,1.87541e+13,0.0134074
0.0415142,1.90019e+13,0.0141738
0.0420145,1.92478e+13,0.0149459
0.0425146,1.94926e+13,0.0157324
0.0430148,1.97367e+13,0.0165228
0.0435152,1.99789e+13,0.017314
0.0440152,2.02213e+13,0.0181133
0.0445156,2.0465e+13,0.0189133
0.0450155,2.07047e+13,0.019724
0.0455158,2.09466e+13,0.0205354
0.0460158,2.11844e+13,0.0213512
0.046516,2.14242e+13,0.0221709
0.047016,2.16597e+13,0.0229963
0.0475163,2.18977e+13,0.0238219
0.0480163,2.21312e+13,0.0246508
0.0485165,2.23673e+13,0.0254824
0.0490165,2.25989e+13,0.0263209
0.0495167,2.28325e+13,0.0271598
0.0500168,2.30616e+13,0.0280033
0.050517,2.32931e+13,0.0288484
0.051017,2.352e+13,0.0296992
0.0515172,2.37499e+13,0.0305536
0.0520175,2.39731e+13,0.0314123
0.0525176,2.42009e+13,0.0322734
0.0530176,2.44227e+13,0.0331389
0.0535179,2.46471e+13,0.0340044
0.054018,2.48662e+13,0.034873
0.0545183,2.5088e+13,0.0357452
0.0550184,2.53042e+13,0.0366219
0.0555187,2.55232e+13,0.0374989
0.0560188,2.57372e+13,0.0383811
0.0565191,2.59531e+13,0.039266
0.0570192,2.6164e+13,0.0401553
0.0575195,2.63776e+13,0.0410429
0.0580196,2.6586e+13,0.041936
0.0585199,2.67968e+13,0.0428307
0.05902,2.70023e+13,0.0437304
0.0595203,2.72104e+13,0.0446296
0.0600204,2.74132e+13,0.0455322
0.0605206,2.76187e+13,0.0464365
0.0610207,2.78182e+13,0.0473475
0.0615209,2.80205e+13,0.0482605
0.062021,2.82173e+13,0.0491774
0.0625212,2.8417e+13,0.0500934
0.0630213,2.8611e+13,0.0510154
0.0635215,2.88082e+13,0.051937
0.0640216,2.89993e+13,0.0528637
0.0645219,2.91939e+13,0.0537908
0.0650219,2.93824e+13,0.0547208
0.0655222,2.95741e+13,0.0556534
0.0660222,2.97597e+13,0.0565882
0.0665225,2.99488e+13,0.0575234
0.0670226,3.01315e+13,0.0584619
0.0675228,3.03179e+13,0.0594008
0.068023,3.04976e+13,0.0603452
0.0685232,3.06811e+13,0.0612892
0.0690233,3.08582e+13,0.0622358
0.0695235,3.1039e+13,0.0631825
0.0700237,3.12134e+13,0.0641327
0.0705239,3.13911e+13,0.065085
0.0710241,3.15627e+13,0.0660413
0.0715242,3.17376e+13,0.066999
0.0720244,3.19065e+13,0.0679575
0.0725246,3.20783e+13,0.0689197
0.0730248,3.22442e+13,0.069885
0.073525,3.24132e+13,0.0708508
0.0740252,3.25765e+13,0.0718178
0.0745253,3.27425e+13,0.0727887
0.0750256,3.29031e+13,0.0737588
0.0755257,3.30661e+13,0.0747332
0.076026,3.3224e+13,0.0757085
0.0765261,3.33841e+13,0.0766858
0.0770263,3.35397e+13,0.0776617
0.0775265,3.36972e+13,0.078641
